Title,TitleAr,Category,Calories,TimeMin,AccentColor,Id,SuggestedFilename
"Mediterranean Farro Salad","سلطة الفارو المتوسطية","Vegetarian Salads","310","40","#16a34a","cms6e2au100bjc71gd2vqfsad","recipe-cms6e2au100bjc71gd2vqfsad.png"
"Shaved Fennel and Orange Salad","سلطة الشمر المقشّر والبرتقان","Vegetarian Salads","160","15","#16a34a","cms6e2au900blc71gjanen8sq","recipe-cms6e2au900blc71gjanen8sq.png"
"Chickpea and Spinach Coconut Curry","كاري الحمص والسبانخ بجوز الهند","Meatless Main Dishes","380","45","#b91c1c","cms6e2aus00boc71gfh2ebllj","recipe-cms6e2aus00boc71gfh2ebllj.png"
"Stuffed Bell Peppers with Quinoa and Beans","فلفل رومي محشي كينوا وفاصوليا","Meatless Main Dishes","340","60","#b91c1c","cms6e2av200bqc71g2y9qu7od","recipe-cms6e2av200bqc71g2y9qu7od.png"
"Mushroom and Lentil Bolognese","بولونيز عيش الغراب والعدس","Meatless Main Dishes","430","60","#b91c1c","cms6e2avb00bsc71gx65a0onv","recipe-cms6e2avb00bsc71gx65a0onv.png"
"Baked Falafel Bowl with Tahini","طبق فلافل في الفرن بالطحينة","Meatless Main Dishes","360","45","#b91c1c","cms6e2avm00buc71g1sp8dwn3","recipe-cms6e2avm00buc71g1sp8dwn3.png"
"Eggplant and Chickpea Tagine","طاجن الباذنجان والحمص","Meatless Main Dishes","320","60","#b91c1c","cms6e2avu00bwc71gm9nkr570","recipe-cms6e2avu00bwc71gm9nkr570.png"
"Spinach and Ricotta Whole-Wheat Frittata","فريتاتا السبانخ والريكوتا بالقمح الكامل","Meatless Main Dishes","290","40","#b91c1c","cms6e2aw200byc71go1186tx5","recipe-cms6e2aw200byc71go1186tx5.png"
"Herb-Marinated Grilled Chicken Breast","صدور فراخ مشوية متبّلة بالأعشاب","Poultry","280","22","#d97706","cms6e2awq00c1c71g02eyxrwi","recipe-cms6e2awq00c1c71g02eyxrwi.png"
"Baked Chicken and Vegetable Traybake","صينية فراخ وخضار في الفرن","Poultry","340","55","#16a34a","cms6e2ax000c3c71gmym1cga6","recipe-cms6e2ax000c3c71gmym1cga6.png"
"Turkey and Spinach Meatballs in Tomato Sauce","كرات لحم الديك الرومي والسبانخ في صوص الطماطم","Poultry","310","50","#d97706","cms6e2axe00c5c71gsgys5c8w","recipe-cms6e2axe00c5c71gsgys5c8w.png"
"Lemon Garlic Chicken and Broccoli Stir-Fry","فراخ بالليمون والتوم مع البروكلي على الطريقة الآسيوية","Poultry","300","27","#d97706","cms6e2axm00c7c71gzz04yq0r","recipe-cms6e2axm00c7c71gzz04yq0r.png"
"Moroccan Spiced Chicken Skewers","أسياخ فراخ بالبهارات المغربية","Poultry","290","32","#d97706","cms6e2axv00c9c71gvyu13pji","recipe-cms6e2axv00c9c71gvyu13pji.png"
"Slow-Cooked Chicken and White Bean Stew","يخنة الفراخ والفاصوليا البيضا على نار هادية","Poultry","360","80","#d97706","cms6e2ay400cbc71g2nntcb06","recipe-cms6e2ay400cbc71g2nntcb06.png"
"Lean Beef and Vegetable Stir-Fry","لحمة بقري خفيفة وخضار على الطريقة الآسيوية","Meat","320","25","#16a34a","cms6e2ayr00cec71g01e64190","recipe-cms6e2ayr00cec71g01e64190.png"
"Herb-Crusted Roast Pork Tenderloin","فيليه بتلو مشوي بقشرة الأعشاب","Meat","260","40","#b91c1c","cms6e2az000cgc71gybcewae4","recipe-cms6e2az000cgc71gybcewae4.png"
"Beef and Barley Stew","يخنة اللحمة والشعير","Meat","350","110","#b91c1c","cms6e2azc00cic71grxy4h7ge","recipe-cms6e2azc00cic71grxy4h7ge.png"
"Grilled Lamb and Mint Yogurt Kebabs","كباب الضاني مع زبادي بالنعناع","Meat","330","30","#b91c1c","cms6e2azp00ckc71gli953tq2","recipe-cms6e2azp00ckc71gli953tq2.png"
"Stuffed Cabbage Rolls with Lean Beef and Rice","محشي ورق كرنب بلحمة خفيفة ورز","Meat","300","90","#b91c1c","cms6e2azy00cmc71gc0jb5jkl","recipe-cms6e2azy00cmc71gc0jb5jkl.png"
"Spiced Beef and Lentil Lettuce Wraps","لفائف خس بلحمة وعدس بالبهارات","Meat","250","35","#b91c1c","cms6e2b0700coc71gx8lfjfvz","recipe-cms6e2b0700coc71gx8lfjfvz.png"
"Baked Lemon Herb Salmon","سلمون في الفرن بالليمون والأعشاب","Seafood","330","25","#0891b2","cms6e2b0u00crc71g548bm0bi","recipe-cms6e2b0u00crc71g548bm0bi.png"
"Garlic Shrimp and Zucchini Noodles","جمبري بالتوم مع نودلز الكوسة","Seafood","220","23","#0891b2","cms6e2b1500ctc71g3sxf5f27","recipe-cms6e2b1500ctc71g3sxf5f27.png"
"Mediterranean Baked Cod with Tomatoes","سمك القد في الفرن بالطماطم على الطريقة المتوسطية","Seafood","250","40","#0891b2","cms6e2b1g00cvc71gmnqcdhj3","recipe-cms6e2b1g00cvc71gmnqcdhj3.png"
"Seared Tuna with Sesame and Ginger Slaw","تونة مشوية سريع مع سلطة الجنزبيل والسمسم","Seafood","290","20","#0891b2","cms6e2b1r00cxc71gf9f6miu0","recipe-cms6e2b1r00cxc71gf9f6miu0.png"
"Spiced Fish Tacos with Cabbage Slaw","تاكو السمك بالبهارات مع سلطة الكرنب","Seafood","310","25","#0891b2","cms6e2b2400czc71grtbqvs6v","recipe-cms6e2b2400czc71grtbqvs6v.png"
"Steamed Mussels in Tomato Broth","بلح البحر المطهي بالبخار في مرقة الطماطم","Seafood","260","35","#f97316","cms6e2b2d00d1c71g4uoxy51w","recipe-cms6e2b2d00d1c71g4uoxy51w.png"
"Roasted Balsamic Brussels Sprouts","كرنب بروكسل مشوي بالبلسمي","Vegetables & Legumes","150","35","#16a34a","cms6e2b2x00d4c71gg7ek12vp","recipe-cms6e2b2x00d4c71gg7ek12vp.png"
"Smoky Braised White Beans and Greens","فاصوليا بيضا مطهية بالورقيات المدخنة","Vegetables & Legumes","250","30","#64748b","cms6e2b3600d6c71gj833v3u6","recipe-cms6e2b3600d6c71gj833v3u6.png"
"Curried Cauliflower and Chickpeas","قرنبيط وحمص بالكاري","Vegetables & Legumes","230","45","#16a34a","cms6e2b3f00d8c71gqlpscrev","recipe-cms6e2b3f00d8c71gqlpscrev.png"
"Garlicky Sauteed Green Beans and Almonds","فاصوليا خضرا سوتيه بالتوم واللوز","Vegetables & Legumes","140","20","#16a34a","cms6e2b3p00dac71gy22h71zv","recipe-cms6e2b3p00dac71gy22h71zv.png"
"Spiced Red Lentil Dal","دال العدس الأحمر بالبهارات","Vegetables & Legumes","290","40","#16a34a","cms6e2b4300dcc71gcobosm2x","recipe-cms6e2b4300dcc71gcobosm2x.png"
"Honey-Roasted Carrots with Cumin","جزر مشوي بالعسل والكمون","Vegetables & Legumes","160","40","#16a34a","cms6e2b4e00dec71gx5ujmi01","recipe-cms6e2b4e00dec71gx5ujmi01.png"
"Herbed Lemon Quinoa Pilaf","أرز الكينوا بالليمون والأعشاب","Grains","210","32","#ca8a04","cms6e2b4z00dhc71gjo75zmus","recipe-cms6e2b4z00dhc71gjo75zmus.png"
"Brown Rice and Vegetable Buddha Bowl","بولة بوذا برز بني وخضار","Grains","420","45","#16a34a","cms6e2b5700djc71gbobt4oqz","recipe-cms6e2b5700djc71gbobt4oqz.png"
"Mushroom and Spinach Barley Risotto","ريزوتو الشعير بعيش الغراب والسبانخ","Grains","320","60","#ca8a04","cms6e2b5g00dlc71gndyva9nt","recipe-cms6e2b5g00dlc71gndyva9nt.png"
"Warm Freekeh and Roasted Vegetable Salad","سلطة الفريكة الدافية والخضار المشوي","Grains","300","40","#16a34a","cms6e2b5s00dnc71gnt5xy98f","recipe-cms6e2b5s00dnc71gnt5xy98f.png"
"Overnight Oats with Chia and Berries","شوفان الليل بالشيا والتوت","Grains","320","10","#ca8a04","cms6e2b6200dpc71gxhiyjj1t","recipe-cms6e2b6200dpc71gxhiyjj1t.png"
"Spiced Bulgur with Chickpeas and Herbs","برغل بالحمص والأعشاب والبهارات","Grains","290","25","#ca8a04","cms6e2b6b00drc71gg87vysh5","recipe-cms6e2b6b00drc71gg87vysh5.png"
"Classic Lemon Tahini Sauce","صوص الطحينة بالليمون الكلاسيكي","Sauces & Condiments","90","8","#0d9488","cms6e2b6q00duc71gidrillts","recipe-cms6e2b6q00duc71gidrillts.png"
"Fresh Basil and Walnut Pesto","بيستو الريحان وعين الجمل الطازة","Sauces & Condiments","85","10","#0d9488","cms6e2b7300dwc71g2f3v8vtm","recipe-cms6e2b7300dwc71g2f3v8vtm.png"
"Roasted Tomato Salsa","صلصة الطماطم المشوية","Sauces & Condiments","25","20","#0d9488","cms6e2b7e00dyc71gupwj7cq8","recipe-cms6e2b7e00dyc71gupwj7cq8.png"
"Greek Yogurt Tzatziki","تزاتزيكي الزبادي اليوناني","Sauces & Condiments","45","15","#0d9488","cms6e2b8a00e0c71gd067sebe","recipe-cms6e2b8a00e0c71gd067sebe.png"
"Quick Pickled Red Onions","بصل أحمر مخلّل سريع","Sauces & Condiments","20","15","#0d9488","cms6e2b9000e2c71gz6zqkntg","recipe-cms6e2b9000e2c71gz6zqkntg.png"
"Roasted Red Pepper and Almond Romesco","روميسكو الفلفل الأحمر المشوي واللوز","Sauces & Condiments","75","10","#0d9488","cms6e2b9n00e4c71goyko6fpp","recipe-cms6e2b9n00e4c71goyko6fpp.png"
"Greek Yogurt Berry Bark","ألواح الزبادي اليوناني بالتوت","Desserts","110","10","#db2777","cms6e2ba900e7c71gyf1uf8mx","recipe-cms6e2ba900e7c71gyf1uf8mx.png"
"Baked Cinnamon Apples with Oats","تفاح بالقرفة في الفرن بالشوفان","Desserts","200","55","#ca8a04","cms6e2bak00e9c71ga6abtdd5","recipe-cms6e2bak00e9c71ga6abtdd5.png"
"Dark Chocolate Avocado Mousse","موس الأفوكادو بالشوكولاتة الدارك","Desserts","220","10","#db2777","cms6e2baw00ebc71gjae2olni","recipe-cms6e2baw00ebc71gjae2olni.png"
"Chia Seed Pudding with Mango","بودينج بذور الشيا بالمانجو","Desserts","190","10","#db2777","cms6e2bb500edc71g4bzofeia","recipe-cms6e2bb500edc71g4bzofeia.png"
"Flourless Almond and Banana Cookies","كوكيز اللوز والموز من غير دقيق","Desserts","130","28","#db2777","cms6e2bbe00efc71gv9efl26t","recipe-cms6e2bbe00efc71gv9efl26t.png"
"Poached Pears in Spiced Tea","كمثرى مسلوقة في شاي بالبهارات","Desserts","150","50","#db2777","cms6e2bbn00ehc71gm6zai7qo","recipe-cms6e2bbn00ehc71gm6zai7qo.png"
